generation	variant	commit	status	lines	classes	methods	gini	population	trade_price	trade_volume	survival	wealth_cv	entropy	passes	description
1	1	2571358	fail	139	2	17	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Merged `SugarscapeGrid` into `SugarscapeModel` to reduce class overhead.
1	2	2571358	fail	113	2	12	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Removed `Trader` helper methods and inlined calculations into `SugarscapeModel`.
1	3	2571358	fail	97	2	11	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Extreme ablation: inlined agent actions into the main step loop and simplified the trade logic structure.
2	1	2571358	fail	150	3	24	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Simplified the `SugarscapeGrid` by replacing the 2D list occupancy grid with a dictionary-based occupancy mapping, which reduces the complexity of agent placement and movement methods.
2	2	2571358	fail	140	3	23	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Inlined the trivial `_agent_eat` and `_agent_maybe_die` methods directly into the main `step` loop to reduce method count and overhead.
2	3	2571358	fail	115	3	23	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Consolidated the `_agent_move`, `_agent_eat`, and `_agent_maybe_die` logic into a single `_agent_update` method, reducing the method count and streamlining the agent's turn logic.
3	1	2571358	fail	154	3	22	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Simplified the `Trader` class by removing its helper methods (`calculate_welfare`, `calculate_MRS`, and `is_starved`) and inlining their logic directly into the `SugarscapeModel` methods.
3	2	2571358	fail	112	2	15	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Merged the `SugarscapeGrid` class into `SugarscapeModel`, reducing the number of classes while maintaining the 2D list occupancy structure to preserve spatial logic.
3	3	2571358	fail	104	2	12	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Final ablation: Merged both `Trader` and `SugarscapeGrid` into `SugarscapeModel` and inlined all logic to achieve the absolute minimal class/method count.
4	1	2571358	fail	135	2	17	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Merged the `SugarscapeGrid` class into `SugarscapeModel` to reduce class overhead while preserving all spatial and resource logic.
4	2	2571358	fail	112	3	20	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Inlined `Trader` mathematical helper methods into the `SugarscapeModel` to reduce the method count.
4	3	2571358	fail	87	2	11	0.3222	64	-1.0000	0	0.3200	0.5659	2.9675	FAIL	Combined structural and functional ablation by merging `SugarscapeGrid` into `SugarscapeModel` and inlining `Trader` math.
5	1	2571358	fail	160	3	20	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Inlined `Trader` helper methods (`calculate_welfare`, `calculate_MRS`, `is_starved`) directly into the `SugarscapeModel` to reduce method count and class overhead.
5	2	2571358	fail	115	2	12	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Merged the `SugarscapeGrid` class into `SugarscapeModel` to reduce the number of classes and streamline resource/occupancy management.
5	3	2571358	fail	94	2	10	0.3237	65	0.9671	5370	0.3250	0.5654	3.0843	FAIL	Aggressive structural ablation: merged both `Trader` and `SugarscapeGrid` into `SugarscapeModel` and inlined all mathematical helper methods.
6	1	2571358	fail	127	2	17	0.3237	65	0.9666	556842	0.3250	0.5654	3.0843	FAIL	Merged `SugarscapeGrid` into `SugarscapeModel` to reduce class count while maintaining the 2D occupancy and resource arrays.
6	2	2571358	pass	130	3	14	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Inlined `Trader` mathematical helper methods (`calculate_welfare`, `calculate_MRS`, `is_starved`) into the `SugarscapeModel` to reduce method count while keeping the `Trader` and `Grid` classes intact.
6	3	2571358	fail	113	2	12	0.3390	67	0.9529	628303	0.3367	0.5937	2.9967	FAIL	Performs aggressive structural ablation by merging `SugarscapeGrid` into `SugarscapeModel`, inlining `Trader` math, and consolidating the agent's move-eat-die lifecycle into a single `_agent_update` method.
7	1	2571358	pass	117	3	12	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Inlined `_maybe_sell_spice` and `Trader` mathematical helper logic into `SugarscapeModel` to reduce method count.
7	2	2571358	pass	112	2	10	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Merged `SugarscapeGrid` into `SugarscapeModel` to reduce class count.
7	3	2571358	pass	109	2	10	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Merged `SugarscapeGrid` into `SugarscapeModel` and replaced the 2D list `occupancy` with a dictionary for more efficient/compact handling.
8	1	fb57b5c	fail	101	2	8	0.3502	70	0.9400	6552	0.3517	0.6141	3.0561	FAIL	Inlined `load_sugar_map` and compacted the `Trader` class and movement/trade logic to reduce line count and method overhead.
8	2	fb57b5c	fail	86	1	6	0.3502	70	0.9400	6552	0.3517	0.6141	3.0561	FAIL	Removed the `_trade` method and the `Trader` class, using `types.SimpleNamespace` for agents and inlining the trade logic into the main `step` loop to minimize method count.
8	3	fb57b5c	fail	73	1	6	0.3502	70	0.9400	6552	0.3517	0.6141	3.0561	FAIL	Extreme structural ablation: Merged the `Trader` class into a `SimpleNamespace` and reduced the entire model to a single class with minimal logic density.
9	1	fb57b5c	fail	101	2	8	0.3390	67	0.9529	628303	0.3367	0.5937	2.9967	FAIL	Inlined `load_sugar_map` and streamlined the `Trader` class and resource regrowth logic.
9	2	fb57b5c	fail	94	2	7	0.3390	67	0.9529	628303	0.3367	0.5937	2.9967	FAIL	Inlined `_trade` method using a stack to eliminate recursion and further compressed the `step` logic.
9	3	fb57b5c	fail	72	2	6	0.3533	68	0.9725	679810	0.3417	0.6194	3.1147	FAIL	Extreme compression of all logic, reducing the `Trader` to essential data and using compact loops for movement and trade.
10	1	fb57b5c	pass	93	2	8	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Inlined `load_sugar_map` and compacted the `Trader` class and `_trade` logic.
10	2	fb57b5c	pass	93	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Inlined the `_trade` method into the `step` loop using a `while` loop to maintain recursion logic.
10	3	fb57b5c	pass	93	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Aggressive structural ablation: merged all logic into `step` and minimized the `Trader` class to essential data.
11	1	7f21358	fail	85	2	7	0.3678	67	0.9961	5674	0.3333	0.6498	2.9056	FAIL	Consolidated the agent lifecycle (movement, eating, and death) into a single loop and streamlined the `Trader` class initialization to reduce method and line count.
11	2	7f21358	fail	71	2	7	0.3678	67	0.9961	5674	0.3333	0.6498	2.9056	FAIL	Used a generator expression within `max()` to eliminate the intermediate `cands` list and more aggressively condensed the mathematical expressions.
11	3	7f21358	fail	59	2	7	0.3678	67	0.9961	5674	0.3333	0.6498	2.9056	FAIL	Achieved maximum density by flattening the `step` function and using single-line attribute assignments in the `Trader` class.
12	1	7f21358	fail	91	2	7	0.3408	66	0.9512	5962	0.3317	0.5977	2.9274	FAIL	Simplified the `Trader` class and optimized the movement candidate selection using list comprehensions.
12	2	7f21358	fail	87	2	7	0.3408	66	0.9512	5962	0.3317	0.5977	2.9274	FAIL	Consolidated the agent lifecycle (move, eat, die) and simplified the trade negotiation logic.
12	3	7f21358	fail	65	2	7	0.3408	66	0.9512	5962	0.3317	0.5977	2.9274	FAIL	Maximum structural ablation using the walrus operator to condense movement and trade logic into a minimal footprint.
13	1	7f21358	pass	92	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Simplified the `Trader` class using `__slots__` and replaced the `unique_id` logic with `id(a)` to reduce attribute overhead.
13	2	7f21358	pass	90	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidated the agent's movement, eating, and death into a single loop to reduce redundant iterations over the agent list.
13	3	7f21358	pass	74	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Achieved maximum structural density by combining the `Trader` class into a minimal data holder and streamlining the `step` function's resource regrowth and agent updates.
14	1	7f21358	fail	74	2	7	0.3390	67	-1.0000	0	0.3367	0.5937	2.9967	FAIL	Merged the agent lifecycle loop (movement, eating, death) with the metric collection loop to reduce iterations.
14	2	7f21358	crash	64	2	7	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Optimized the `Trader` class using `__slots__` and condensed the resource regrowth and agent initialization logic.
14	3	7f21358	crash	60	2	7	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Used the walrus operator and list comprehensions to achieve maximum algorithmic density in the movement and trade logic.
15	1	7f21358	pass	71	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Simplified the `Trader` class using `__slots__` and integrated trade metric collection directly into the trade loop to eliminate redundant agent attribute storage and a final iteration loop.
15	2	7f21358	fail	68	2	7	0.3533	68	0.9699	6646	0.3417	0.6194	3.1147	FAIL	Uses a more compact candidate selection logic for movement and agent attribute names to reduce the footprint of the `step` method.
15	3	7f21358	fail	59	1	6	0.3533	68	0.9699	6646	0.3417	0.6194	3.1147	FAIL	Aggressive structural ablation: replaces the `Trader` class with a `SimpleNamespace` and collapses the main logic into a more dense procedural structure.
16	1	4181839	pass	70	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidated the agent lifecycle (movement, eating, and death) into a single loop and inlined the movement candidate selection logic to reduce method overhead.
16	2	4181839	fail	69	2	7	0.3532	68	0.9785	5940	0.3417	0.6169	3.0782	FAIL	Removed the redundant `self.agents` list and used the `self.occupancy` dictionary as the single source of truth for agent management, simplifying initialization and iteration.
16	3	4181839	pass	67	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Achieved maximum structural density by using a highly compact `Trader` class and condensing the mathematical logic and agent updates into a single-pass approach within the `step` method.
17	1	c670718	pass	71	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Simplified the `Trader` class with `__slots__`, removed redundant `s_max`/`sp_max` arrays by using the original map, and optimized the movement candidate selection to avoid redundant list traversals while preserving randomness.
17	2	c670718	pass	71	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidated the agent lifecycle (movement, eating, metabolism, and death) into a single streamlined loop and optimized the resource regrowth using NumPy's vectorized operations.
17	3	c670718	pass	69	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Achieved maximum structural density by utilizing the walrus operator for movement candidate selection, condensing the `Trader` class into a single line, and flattening the `step` logic into a highly compact procedural structure.
18	1	c670718	fail	59	2	7	0.3477	67	0.9567	5585	0.3350	0.6081	3.1401	FAIL	Removed redundant resource limit arrays and converted the redundant `while True` trade loop into a single `if` statement to clean up the logic.
18	2	c670718	fail	54	2	7	0.3477	67	0.9567	5585	0.3350	0.6081	3.1401	FAIL	Refactored agent movement to use a single list comprehension and consolidated the agent's lifecycle (move, eat, die) into a more compact loop.
18	3	c670718	fail	44	2	7	0.3477	67	0.9567	5585	0.3350	0.6081	3.1401	FAIL	Maximum structural ablation: collapsed the `Trader` class into a one-line definition and used the walrus operator to condense the `step` method's logic.
19	1	c670718	crash	69	2	7	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified the `Trader` class using `__slots__`, removed redundant resource limit arrays, and streamlined the movement candidate selection to reduce line count and redundancy.
19	2	c670718	crash	63	2	7	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Aggressively inlined the movement candidate selection using list comprehensions and merged the agent's life cycle (move, eat, metabolize) into a more compact logic block.
19	3	c670718	crash	54	2	7	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Maximum structural ablation: collapsed the `Trader` class into a single-line definition and used the walrus operator to condense the movement and trade logic into a minimal footprint.
20	1	c670718	pass	67	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Simplified resource management by removing redundant limit arrays and streamlined agent initialization.
20	2	c670718	pass	64	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Optimized movement logic using walrus operators and consolidated agent lifecycle loops.
20	3	c670718	pass	58	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Achieved maximum structural density by compressing the Trader class and inlining agent update logic.
21	1	88df8d3	pass	56	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidated resource management by removing redundant limit arrays and streamlined the `Trader` initialization.
21	2	88df8d3	pass	53	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Collapsed the `Trader` class into a compact single-line definition and optimized the `step` method loop.
21	3	88df8d3	pass	52	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Maximum structural ablation using walrus operators to condense movement and trade logic into a minimal footprint.
22	1	11e3c34	crash	52	2	7	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Consolidated the agent lifecycle (movement, eating, metabolism, and death) into a single streamlined loop and simplified the movement tie-breaking logic.
22	2	11e3c34	crash	52	2	7	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Streamlined the `Trader` class using `__slots__` and replaced the manual tie-breaking index selection with `self.rng.choice` for cleaner code.
22	3	11e3c34	crash	52	2	7	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Achieved maximum structural density by using walrus operators to condense movement and trade logic into a highly compact procedural structure.
23	1	11e3c34	pass	54	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Streamlined the agent lifecycle and movement selection by consolidating the tie-breaking logic and combining the eating and metabolism steps.
23	2	11e3c34	pass	48	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidated resource management and compressed the trade negotiation loop using more compact mathematical expressions.
23	3	11e3c34	pass	48	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Achieved maximum density by using walrus operators to inline movement and trade logic and collapsing the `Trader` class.
24	1	67cc05d	pass	48	2	7	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Simplified the agent lifecycle by consolidating movement, eating, and metabolism into a single loop and used a more compact `Trader` class definition.
