generation	variant	commit	status	lines	classes	methods	ast_nodes	cyclomatic	combined_score	gini	population	trade_price	trade_volume	survival	wealth_cv	entropy	passes	stage_reached	ks_pvalue	dtw_distance	morans_i	description
1	1	e0b0706	crash	321	3	24	2062	69	866.20	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	1	1.0000	0.0000	0.0000	Inlining single-use helper methods and removing the unused `get_trader` method to reduce class complexity.
1	1	e0b0706	pass	350	3	26	2115	72	889.20	0.3572	66	0.9953	5894	0.3281	0.6322	3.0234	PASS	3	0.5666	0.0650	0.0599	Inlining the `calculate_sell_spice_amount` and `sell_spice` helper methods into `maybe_sell_spice` to reduce class compl
2	1	4dddab9	pass	342	3	26	2101	72	883.60	0.3572	66	0.9953	5894	0.3281	0.6322	3.0234	PASS	3	0.5666	0.0650	0.0599	Simplify the `get_distance` helper function to reduce lines and complexity.
3	1	c0dee09	pass	336	3	25	2078	69	872.60	0.3572	66	0.9953	5894	0.3281	0.6322	3.0234	PASS	3	0.5666	0.0650	0.0599	Remove the unused `get_trader` helper method to reduce class complexity.
4	1	fd9314f	pass	229	3	22	1942	58	811.60	0.3572	66	0.9953	5894	0.3281	0.6322	3.0234	PASS	3	0.5666	0.0650	0.0599	Inlining `is_starved`, `maybe_die`, and `maybe_sell_spice` into `Trader` methods, and simplifying `move` and `trade` log
5	1	5a149a7	pass	227	3	20	1924	57	803.80	0.3572	66	0.9953	5894	0.3281	0.6322	3.0234	PASS	3	0.5666	0.0650	0.0599	Remove the unused `get_distance` helper function to reduce AST nodes and line count.
6	1	5a97f4b	pass	217	3	20	1874	54	782.00	0.3572	66	0.9953	5894	0.3281	0.6322	3.0234	PASS	3	0.5666	0.0650	0.0599	Simplify `create_model` by removing redundant conditional checks for `SugarScapeScenario` and streamlining parameter ext
7	1	6cae901	pass	211	3	20	1853	53	773.00	0.3572	66	0.9953	5894	0.3281	0.6322	3.0234	PASS	3	0.5666	0.0650	0.0599	Simplify data gathering in `run_model` using list comprehensions to reduce line count and cyclomatic complexity.
8	1	41bda6a	pass	204	3	20	1816	52	757.60	0.3572	66	0.9953	5894	0.3281	0.6322	3.0234	PASS	3	0.5666	0.0000	0.0599	Simplify the `datacollector` by removing unused reporters (`#Traders`, `Price`, and `Trade Network`), which also elimina
9	1	3ce8da2	pass	191	3	16	1763	47	733.40	0.3572	66	0.9953	5894	0.3281	0.6322	3.0234	PASS	3	0.5666	0.0000	0.0599	Remove unused helper functions `flatten` and `geometric_mean` that are no longer used by the evaluation harness or the m
10	1	77f9fbb	fail	187	3	16	1676	41	695.00	0.3780	59	0.8396	5574	0.2950	0.6755	3.4872	FAIL	2	1.0000	0.0000	0.0000	Simplify agent movement tie-breaking and streamline the agent initialization block to reduce boilerplate.
10	1	77f9fbb	pass	159	3	16	1704	48	710.40	0.3572	66	0.9953	5894	0.3281	0.6322	3.0234	PASS	3	0.5666	0.0000	0.0599	Streamline the agent initialization block by replacing the verbose `create_agents` call with a dictionary comprehension
11	1	76436d7	fail	156	3	16	1617	42	672.00	0.3780	59	0.8396	5574	0.2950	0.6755	3.4872	FAIL	2	1.0000	0.0000	0.0000	Simplify agent movement logic by replacing multi-step tie-breaking with a single `max` call using a tuple-based key.
11	1	76436d7	crash	157	3	15	1686	48	703.20	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	1	1.0000	0.0000	0.0000	Remove the redundant `run_model` method from the `SugarscapeG1mt` class and inline the simulation loop into the global `
11	1	76436d7	pass	157	3	16	1700	48	708.80	0.3572	66	0.9953	5894	0.3281	0.6322	3.0234	PASS	3	0.5666	0.0000	0.0599	Remove redundant imports, inline the `trade_with_neighbors` method into the model's `step` function, and streamline the
12	1	2b34112	pass	154	3	16	1626	42	675.60	0.3583	65	1.0847	5917	0.3270	0.6337	3.0803	PASS	3	0.8006	0.0000	0.0578	Simplify agent movement logic by replacing multi-step tie-breaking (max welfare $\rightarrow$ min distance $\rightarrow$
13	1	a8209b2	pass	149	3	15	1607	41	667.40	0.3583	65	1.0847	5917	0.3270	0.6337	3.0803	PASS	3	0.8006	0.0000	0.0578	Inline the `eat` method into the `step` method to reduce class complexity and remove a redundant method call.
